,layer_id,name,D,Lambda,M,N,W_scale,alpha,alpha_weighted,best_fit,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,max_rand_eval,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,3,Conv2d,0.11256026893515875,-1.0,3.0,64.0,1.434728640216269,1.9353705513737884,1.4346944565659745,power_law,0.08304842215601639,0.03444875933067946,0.7971564565222427,True,5.51191110395611,LAYER_TYPE.CONV2D,2.1992741213365044,1.853777799090196,0.7413022046592483,147.0,3.0881396829324035,0.015067083011627194,71.41308571757324,147.0,77.0,77.0,1.434728640216269,0.09629247610542666,0.039942436576090146,0.14287966779001435,0.0311813862040043,88.0,0.3659751222257178,0.0,49.0,0.10659536723792631,0.3398764552297947,5.51191110395611,12.956138872834384,2.3477459623979997,over-trained,0.0,5.51191110395611,0.1760164166043377
0,9,Conv2d,0.18763280615938294,-1.0,64.0,64.0,2.491320510644574,10.445989198011361,-0.18835231829639945,power_law,0.7167463310416814,0.0,0.7474362007032411,True,0.9593320065211519,LAYER_TYPE.CONV2D,-0.018553487754829297,1.013320766963785,-0.01803106577328806,64.0,0.9086058727885788,0.7471306348266596,10.31147437770873,64.0,6.0,3.0,2.4913205106445737,0.6607057005946114,0.0,0.18763185176788538,0.7271642418146127,5.0,1.0125200567810684,0.0,1.0,3.856308941828255,1.054586838919818,0.9593320065211519,10.748598303418929,0.9794549537988727,under-trained,5.0,0.9593320065211519,0.7058333561097377
0,11,Conv2d,0.09574167913303011,-1.0,64.0,64.0,6.062388710448944,1.815686529515613,0.04143450206972455,power_law,0.1126221797010442,0.0,0.7177826940302541,True,1.053950695835246,LAYER_TYPE.CONV2D,0.7694453198045856,1.1951349250707097,0.02282029491113667,576.0,0.28726557799136165,0.10685716148400297,15.672378983979367,576.0,119.0,29.0,6.062388710448944,0.11109448839317046,0.0,0.30476027227031977,0.38673094482803355,19.0,1.010322535547983,0.0,9.0,0.07477386156531203,1.0172454306885466,1.053950695835246,14.870125372951298,1.0266210088612282,over-trained,51.0,1.053950695835246,0.020082013502475408
0,13,Conv2d,0.08333333333333348,-1.0,64.0,256.0,2.5061714988602946,3.7837096881684875,0.8566694085250673,lognormal,0.07788759664277267,0.008654177404752519,0.7851241438577725,True,1.6842630467221162,LAYER_TYPE.CONV2D,0.9026375869795766,1.0081584005557094,0.2264099201912449,64.0,0.3938268596720119,0.04624431842422487,10.189629674225715,64.0,12.0,23.0,2.5061714988602954,0.34859737512578953,0.03873304168064328,0.31290020624951476,0.8851538856849669,2.0,0.9864647796201164,0.0,1.0,0.8035877689049228,0.46628739903520916,1.6842630467221162,6.04990395891936,1.2977916037338646,success,3.0,1.6842630467221162,0.3516940189720173
0,17,Conv2d,0.1298158728373756,-1.0,64.0,256.0,1.5344220225311531,3.2753486224578365,1.4338651531401712,power_law,0.1853790883638808,0.02059767648487565,0.8293455975440899,True,2.740153043886577,LAYER_TYPE.CONV2D,1.798535533675616,1.4342903279658483,0.4377748198493119,64.0,1.2306772224711229,0.06765282281494135,27.182558287767318,64.0,17.0,29.0,1.5344220225311531,0.8945560541890519,0.09939511713211689,0.25073628661967967,0.7268811332941055,10.0,0.9675141906639494,0.0,1.0,0.5518531003233706,0.44043714115924837,2.740153043886577,9.920087620074,1.6553407636757385,success,1.0,2.740153043886577,0.7110037128248033
0,20,Conv2d,0.16933243917065943,-1.0,64.0,256.0,2.8835052578554214,5.1571345674329825,-0.6100015608772849,power_law,0.08815934441493402,0.009795482712770448,0.8190248815742373,True,0.7615825046659594,LAYER_TYPE.CONV2D,-0.35148731881976386,0.8863384786818258,-0.11828304127051692,64.0,0.27678721327231426,0.11575810089492788,7.697301157232665,64.0,7.0,19.0,2.8835052578554223,0.2696391234853296,0.029959902609481066,0.27798010074495205,0.9741747832117081,0.0,0.9982077605309498,0.0,1.0,1.571249176008249,0.5707733201836434,0.7615825046659594,10.106982644787523,0.8726869453967783,success,4.0,0.7615825046659594,0.4073904432696523
0,22,Conv2d,0.07191489304521514,-1.0,64.0,64.0,6.135943740220398,2.0787194020629443,-0.2015289548394681,power_law,0.10835832157818671,0.0,0.791072783696745,True,0.7999289064414898,LAYER_TYPE.CONV2D,0.4408297182897517,1.1846597454995922,-0.09694860914824219,576.0,0.2520016610027013,0.1354599398841858,15.298883781163216,576.0,124.0,25.0,6.135943740220398,0.10853193512088839,0.0,0.2139746545116107,0.43067944349670373,14.0,1.0107183406944396,0.0,9.0,0.09687186200482857,1.009909617334042,0.7999289064414898,19.125304333882376,0.89438744760953,success,36.0,0.7999289064414898,0.027905356762565413
0,24,Conv2d,0.15383177447202068,-1.0,64.0,256.0,2.716297241096362,6.066929474273399,-0.9433182382400147,power_law,0.13001474346249464,0.01444608260694385,0.8794013860767117,True,0.6990604276472295,LAYER_TYPE.CONV2D,-0.8407744966391002,0.9382253889344131,-0.15548528167998696,64.0,0.3210795992504823,0.18598498544693,8.67411925978243,64.0,8.0,21.0,2.7162972410963624,0.30021859644880905,0.03335762182764544,0.18126868976116017,0.9350285634765633,0.0,0.9922128074539295,0.0,1.0,1.7914300955263542,0.652953621805739,0.6990604276472295,12.408253874384226,0.8360983361107888,under-trained,0.0,0.6990604276472295,0.3456231821281538
0,28,Conv2d,0.16768379220473345,-1.0,64.0,256.0,2.938480705988732,1.7784341453963612,-0.2486641047241661,power_law,0.08971861641656248,0.009968735157395832,0.8238352648038371,True,0.7247330456607277,LAYER_TYPE.CONV2D,0.496890903461371,0.8699342870037847,-0.13982193569992782,64.0,0.26289201368532994,0.12379539880752563,7.411980823077319,64.0,37.0,18.0,2.938480705988732,0.2621223863440493,0.029124709593783254,0.2670301791662283,0.9970724582672115,0.0,1.0029600649487302,0.0,1.0,0.12797378518707306,0.5867767106211698,0.7247330456607277,10.227187607155312,0.8513125428776013,over-trained,0.0,0.7247330456607277,0.03388637086902269
0,30,Conv2d,0.0982293754764732,-1.0,64.0,64.0,5.561415905813086,1.8088922714707385,-0.31324059697748224,power_law,0.13042126760988165,0.0,0.8025850585227788,True,0.671170589573213,LAYER_TYPE.CONV2D,0.6726504603632361,1.2700517341449806,-0.1731670823729037,576.0,0.23327058966988445,0.19431910401916527,18.623089659235852,576.0,202.0,38.0,5.561415905813086,0.13221609703293574,0.0,0.23612436327738198,0.5667928272485737,8.0,1.0111079971881982,0.0,9.0,0.05691346161581203,1.0042216670262918,0.671170589573213,27.747177764565023,0.8192500165231692,over-trained,6.0,0.671170589573213,0.014915070455277053
